"Record ID","Survey Identifier","Survey Timestamp","Please indicate your affiliation with the dental school:","What year are you in dental school?","What is your age?","What is the highest level of education you have achieved prior to dental school?","Do you have a military background?","Do you have any family members who are dentists?","Roughly how many schools did you apply to for dental school?","Roughly how many schools were you accepted to attend?","Did you ever reapply to VCU?","Roughly, what was your undergraduate GPA?","Roughly, what was your graduate/professional GPA?","Roughly, what was your DAT score?","What are your plans following graduation?","Which residency are you most interested in:","Please describe your plans following graduation:","What is your gender?","What is your ethnic/racial background?","What department are you primarily affiliated with?","How many years have you been on  Admissions Committee?","What is your age?","Am the life of the party","Feel little concern for others.","Am always prepared.","Get stressed out easily.","Have a rich vocabulary.","Don't talk a lot.","Am interested in people.","Leave my belongings around.","Am relaxed most of the time.","Have difficulty understanding abstract ideas.","Feel comfortable around people.","Insult people.","Pay attention to details.","Worry about things.","Have a vivid imagination.","Keep in the background.","Sympathize with others' feelings.","Make a mess of things.","Seldom feel blue.","Am not interested in abstract ideas.","Start conversations.","Am not interested in other people's problems.","Get chores done right away.","Am easily disturbed.","Have excellent ideas.","Have little to say.","Have a soft heart.","Often forget to put things back in their proper place.","Get upset easily.","Do not have a good imagination.","Talk to a lot of different people at parties.","Am not really interested in others.","Like order.","Change my mood a lot.","Am quick to understand things.","Don't like to draw attention to myself.","Take time out for others.","Shirk my duties.","Have frequent mood swings.","Use difficult words.","Don't mind being the center of attention.","Feel others' emotions.","Follow a schedule.","Get irritated easily.","Spend time reflecting on things.","Am quiet around strangers.","Make people feel at ease.","Am exacting in my work.","Often feel blue.","Am full of ideas.","Extraversion Score:","Agreeableness Score:","Conscientiousness Score","Emotional Stability Score","Intellect/Imagination Score","Complete?"
11,,2018-08-08 16:19:27,Dental Student,D3 (Class of 2020),20-25,"Bachelor's degree (e.g. BA, BS)",Yes,No,7,2,No,3.95,,20,Other,,Military dentist,Female,White/Caucasian,,,,Moderately Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Accurate,Moderately Inaccurate,Very Accurate,Very Accurate,Very Accurate,Neither Accurate nor Inaccurate,Very Accurate,Very Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,2,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Very Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Very Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Very Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Very Inaccurate,Very Accurate,Very Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,34,47,40,31,36,2
12,,2018-08-08 16:18:59,Dental Student,D3 (Class of 2020),20-25,"Bachelor's degree (e.g. BA, BS)",No,No,7,2,No,3.88,3.9,20,Residency,Oral and Maxillofacial Surgery,,Female,White/Caucasian,,,,Moderately Accurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,Moderately Inaccurate,Very Accurate,Very Accurate,Very Accurate,Very Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,2,Moderately Inaccurate,Moderately Accurate,Very Accurate,Very Inaccurate,Very Accurate,Very Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Very Inaccurate,Very Accurate,Very Accurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Very Accurate,Very Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Accurate,38,46,40,29,44,2
13,,2018-08-08 16:40:39,Dental Student,D2 (Class of 2021),20-25,"Bachelor's degree (e.g. BA, BS)",No,No,8,4,No,3.4,,22,Residency,Pediatric Dentistry,,Female,Asian American/Pacific Islander,,,,Very Accurate,Very Inaccurate,Moderately Accurate,Very Accurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Very Inaccurate,Very Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,Very Accurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Very Inaccurate,Very Inaccurate,Very Inaccurate,Very Accurate,1,Very Accurate,Very Accurate,Moderately Inaccurate,Moderately Inaccurate,Very Accurate,Very Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,Very Accurate,Very Accurate,Very Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,Very Accurate,Very Accurate,Very Accurate,Very Accurate,Neither Accurate nor Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Very Accurate,Moderately Inaccurate,47,50,45,14,41,2
14,,2018-08-08 16:20:02,Dental Student,D3 (Class of 2020),26-30,Foreign dental degree,No,No,9,2,No,4,3.3,,Private practice,,,Female,,,,,Moderately Accurate,Very Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Very Accurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,1,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,37,44,38,32,37,2
15,,2018-08-08 16:38:12,Dental Student,D1 (Class of 2022),20-25,"Bachelor's degree (e.g. BA, BS)",No,No,12,2,No,3.89,,23,Other,,I will be a dentist for the Air Force,Male,White/Caucasian,,,,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,2,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Accurate,Moderately Accurate,Very Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,26,40,43,45,38,2
16,,[not completed],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,,2018-08-08 16:46:40,Dental Student,D3 (Class of 2020),35+,"Master's degree (e.g. MA, MS, MEd)",No,No,10,1,Yes,2.9,3.2,19,Private practice,,,Male,White/Caucasian,,,,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,Moderately Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,Very Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Accurate,Very Inaccurate,Very Accurate,3,Moderately Accurate,Very Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Inaccurate,Very Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Inaccurate,Very Accurate,Very Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Very Accurate,46,40,37,50,49,2
18,,2018-08-08 17:00:07,Dental Student,D1 (Class of 2022),20-25,"Master's degree (e.g. MA, MS, MEd)",No,Yes,13,2,No,2.7,4,22,Private practice,,,Male,Hispanic,,,,Neither Accurate nor Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Very Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Accurate,2,Moderately Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,31,40,32,28,34,2
19,,2018-08-08 17:02:42,Dental Student,D2 (Class of 2021),20-25,Foreign dental degree,No,No,20,1,No,,3.83,,Private practice,,,Female,,,,,Neither Accurate nor Inaccurate,Very Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,1,Very Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Inaccurate,Very Inaccurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Very Inaccurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Very Accurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Very Accurate,Very Inaccurate,Moderately Accurate,33,44,48,40,43,2
20,,2018-08-08 19:43:56,Dental Student,D1 (Class of 2022),26-30,"Master's degree (e.g. MA, MS, MEd)",No,No,6,5,No,3.3,4,23,Residency,Oral and Maxillofacial Surgery,,Male,White/Caucasian,,,,Very Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Very Inaccurate,Very Inaccurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,,Moderately Inaccurate,Moderately Inaccurate,Very Accurate,Very Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Very Inaccurate,Very Inaccurate,Very Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Very Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,45,,38,39,49,2
21,,[not completed],Dental Student,D3 (Class of 2020),26-30,"Bachelor's degree (e.g. BA, BS)",No,No,9,3,,3.67,3.91,,Private practice,,,Female,Asian American/Pacific Islander,,,,Very Inaccurate,Very Accurate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,,[not completed],Dental Student,D3 (Class of 2020),26-30,Foreign dental degree,No,No,1,1,No,3.77,,,Private practice,,,Female,White/Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,,2018-08-08 17:40:45,Dental Student,D2 (Class of 2021),20-25,"Bachelor's degree (e.g. BA, BS)",No,No,1,1,No,3.8,,20,Private practice,,,Female,White/Caucasian,,,,Moderately Accurate,Very Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Inaccurate,Very Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,2,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Very Accurate,Very Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Very Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Very Inaccurate,Very Accurate,Moderately Accurate,Neither Accurate nor Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Very Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,43,46,30,28,28,2
24,,2018-08-08 18:14:33,Dental Student,D1 (Class of 2022),20-25,"Bachelor's degree (e.g. BA, BS)",No,Yes,13,1,No,3.6,,19,Private practice,,,Male,White/Caucasian,,,,Moderately Accurate,Very Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Accurate,2,Moderately Inaccurate,Moderately Accurate,Very Accurate,Moderately Inaccurate,Very Accurate,Neither Accurate nor Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Moderately Inaccurate,Very Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Accurate,Moderately Inaccurate,Moderately Accurate,Neither Accurate nor Inaccurate,Neither Accurate nor Inaccurate,Very Accurate,41,39,33,24,32,2
